case_number,evaluation_seed,prompt
0,742,golfball on a lush green fairway at sunrise
1,156,golfball on a lush green fairway at sunrise
2,489,golfball on a lush green fairway at sunrise
3,823,golfball on a lush green fairway at sunrise
4,34,golfball on a lush green fairway at sunrise
5,671,golfball on a lush green fairway at sunrise
6,298,golfball on a lush green fairway at sunrise
7,915,golfball on a lush green fairway at sunrise
8,457,golfball on a lush green fairway at sunrise
9,183,golfball on a lush green fairway at sunrise
10,764,golfball on a lush green fairway at sunrise
11,52,golfball on a lush green fairway at sunrise
12,836,golfball on a lush green fairway at sunrise
13,309,golfball on a lush green fairway at sunrise
14,648,golfball on a lush green fairway at sunrise
15,124,golfball on a lush green fairway at sunrise
16,578,golfball on a lush green fairway at sunrise
17,892,golfball on a lush green fairway at sunrise
18,415,golfball on a lush green fairway at sunrise
19,71,golfball on a lush green fairway at sunrise
20,953,golfball on a lush green fairway at sunrise
21,267,golfball on a lush green fairway at sunrise
22,684,golfball on a lush green fairway at sunrise
23,138,golfball on a lush green fairway at sunrise
24,506,golfball on a lush green fairway at sunrise
25,829,golfball on a lush green fairway at sunrise
26,342,golfball on a lush green fairway at sunrise
27,776,golfball on a lush green fairway at sunrise
28,48,golfball on a lush green fairway at sunrise
29,621,golfball on a lush green fairway at sunrise
30,195,golfball on a lush green fairway at sunrise
31,713,golfball on a lush green fairway at sunrise
32,368,golfball on a lush green fairway at sunrise
33,944,golfball on a lush green fairway at sunrise
34,86,golfball on a lush green fairway at sunrise
35,537,golfball on a lush green fairway at sunrise
36,269,golfball on a lush green fairway at sunrise
37,801,golfball on a lush green fairway at sunrise
38,455,golfball on a lush green fairway at sunrise
39,17,golfball on a lush green fairway at sunrise
40,697,golfball on a lush green fairway at sunrise
41,163,golfball on a lush green fairway at sunrise
42,524,golfball on a lush green fairway at sunrise
43,888,golfball on a lush green fairway at sunrise
44,378,golfball on a lush green fairway at sunrise
45,64,golfball on a lush green fairway at sunrise
46,732,golfball on a lush green fairway at sunrise
47,249,golfball on a lush green fairway at sunrise
48,612,golfball on a lush green fairway at sunrise
49,976,golfball on a lush green fairway at sunrise
50,403,golfball resting on a putting green near the hole
51,157,golfball resting on a putting green near the hole
52,815,golfball resting on a putting green near the hole
53,28,golfball resting on a putting green near the hole
54,671,golfball resting on a putting green near the hole
55,229,golfball resting on a putting green near the hole
56,744,golfball resting on a putting green near the hole
57,98,golfball resting on a putting green near the hole
58,583,golfball resting on a putting green near the hole
59,862,golfball resting on a putting green near the hole
60,314,golfball resting on a putting green near the hole
61,651,golfball resting on a putting green near the hole
62,129,golfball resting on a putting green near the hole
63,476,golfball resting on a putting green near the hole
64,908,golfball resting on a putting green near the hole
65,36,golfball resting on a putting green near the hole
66,792,golfball resting on a putting green near the hole
67,268,golfball resting on a putting green near the hole
68,554,golfball resting on a putting green near the hole
69,137,golfball resting on a putting green near the hole
70,619,golfball resting on a putting green near the hole
71,881,golfball resting on a putting green near the hole
72,425,golfball resting on a putting green near the hole
73,75,golfball resting on a putting green near the hole
74,961,golfball resting on a putting green near the hole
75,302,golfball resting on a putting green near the hole
76,707,golfball resting on a putting green near the hole
77,184,golfball resting on a putting green near the hole
78,539,golfball resting on a putting green near the hole
79,846,golfball resting on a putting green near the hole
80,398,golfball resting on a putting green near the hole
81,12,golfball resting on a putting green near the hole
82,669,golfball resting on a putting green near the hole
83,233,golfball resting on a putting green near the hole
84,754,golfball resting on a putting green near the hole
85,106,golfball resting on a putting green near the hole
86,482,golfball resting on a putting green near the hole
87,917,golfball resting on a putting green near the hole
88,351,golfball resting on a putting green near the hole
89,56,golfball resting on a putting green near the hole
90,821,golfball resting on a putting green near the hole
91,274,golfball resting on a putting green near the hole
92,698,golfball resting on a putting green near the hole
93,145,golfball resting on a putting green near the hole
94,502,golfball resting on a putting green near the hole
95,939,golfball resting on a putting green near the hole
96,21,golfball resting on a putting green near the hole
97,637,golfball resting on a putting green near the hole
98,187,golfball resting on a putting green near the hole
99,788,golfball resting on a putting green near the hole
100,564,golfball buried in a bunker with white sand
101,29,golfball buried in a bunker with white sand
102,843,golfball buried in a bunker with white sand
103,316,golfball buried in a bunker with white sand
104,672,golfball buried in a bunker with white sand
105,158,golfball buried in a bunker with white sand
106,724,golfball buried in a bunker with white sand
107,48,golfball buried in a bunker with white sand
108,895,golfball buried in a bunker with white sand
109,381,golfball buried in a bunker with white sand
110,609,golfball buried in a bunker with white sand
111,135,golfball buried in a bunker with white sand
112,776,golfball buried in a bunker with white sand
113,254,golfball buried in a bunker with white sand
114,682,golfball buried in a bunker with white sand
115,99,golfball buried in a bunker with white sand
116,453,golfball buried in a bunker with white sand
117,821,golfball buried in a bunker with white sand
118,367,golfball buried in a bunker with white sand
119,14,golfball buried in a bunker with white sand
120,598,golfball buried in a bunker with white sand
121,736,golfball buried in a bunker with white sand
122,182,golfball buried in a bunker with white sand
123,514,golfball buried in a bunker with white sand
124,87,golfball buried in a bunker with white sand
125,651,golfball buried in a bunker with white sand
126,293,golfball buried in a bunker with white sand
127,805,golfball buried in a bunker with white sand
128,424,golfball buried in a bunker with white sand
129,67,golfball buried in a bunker with white sand
130,971,golfball buried in a bunker with white sand
131,349,golfball buried in a bunker with white sand
132,716,golfball buried in a bunker with white sand
133,128,golfball buried in a bunker with white sand
134,588,golfball buried in a bunker with white sand
135,832,golfball buried in a bunker with white sand
136,264,golfball buried in a bunker with white sand
137,709,golfball buried in a bunker with white sand
138,43,golfball buried in a bunker with white sand
139,546,golfball buried in a bunker with white sand
140,927,golfball buried in a bunker with white sand
141,386,golfball buried in a bunker with white sand
142,161,golfball buried in a bunker with white sand
143,632,golfball buried in a bunker with white sand
144,894,golfball buried in a bunker with white sand
145,215,golfball buried in a bunker with white sand
146,748,golfball buried in a bunker with white sand
147,55,golfball buried in a bunker with white sand
148,469,golfball buried in a bunker with white sand
149,332,golfball buried in a bunker with white sand
150,806,golfball sitting in thick rough grass
151,193,golfball sitting in thick rough grass
152,567,golfball sitting in thick rough grass
153,34,golfball sitting in thick rough grass
154,728,golfball sitting in thick rough grass
155,472,golfball sitting in thick rough grass
156,61,golfball sitting in thick rough grass
157,839,golfball sitting in thick rough grass
158,285,golfball sitting in thick rough grass
159,914,golfball sitting in thick rough grass
160,157,golfball sitting in thick rough grass
161,643,golfball sitting in thick rough grass
162,112,golfball sitting in thick rough grass
163,776,golfball sitting in thick rough grass
164,398,golfball sitting in thick rough grass
165,25,golfball sitting in thick rough grass
166,681,golfball sitting in thick rough grass
167,448,golfball sitting in thick rough grass
168,765,golfball sitting in thick rough grass
169,219,golfball sitting in thick rough grass
170,543,golfball sitting in thick rough grass
171,96,golfball sitting in thick rough grass
172,704,golfball sitting in thick rough grass
173,378,golfball sitting in thick rough grass
174,825,golfball sitting in thick rough grass
175,269,golfball sitting in thick rough grass
176,612,golfball sitting in thick rough grass
177,134,golfball sitting in thick rough grass
178,758,golfball sitting in thick rough grass
179,497,golfball sitting in thick rough grass
180,83,golfball sitting in thick rough grass
181,651,golfball sitting in thick rough grass
182,309,golfball sitting in thick rough grass
183,884,golfball sitting in thick rough grass
184,52,golfball sitting in thick rough grass
185,717,golfball sitting in thick rough grass
186,245,golfball sitting in thick rough grass
187,689,golfball sitting in thick rough grass
188,126,golfball sitting in thick rough grass
189,578,golfball sitting in thick rough grass
190,802,golfball sitting in thick rough grass
191,379,golfball sitting in thick rough grass
192,16,golfball sitting in thick rough grass
193,734,golfball sitting in thick rough grass
194,462,golfball sitting in thick rough grass
195,888,golfball sitting in thick rough grass
196,207,golfball sitting in thick rough grass
197,551,golfball sitting in thick rough grass
198,94,golfball sitting in thick rough grass
199,643,golfball sitting in thick rough grass
200,759,golfball floating in a water hazard pond
201,184,golfball floating in a water hazard pond
202,502,golfball floating in a water hazard pond
203,68,golfball floating in a water hazard pond
204,837,golfball floating in a water hazard pond
205,321,golfball floating in a water hazard pond
206,976,golfball floating in a water hazard pond
207,145,golfball floating in a water hazard pond
208,698,golfball floating in a water hazard pond
209,452,golfball floating in a water hazard pond
210,37,golfball floating in a water hazard pond
211,814,golfball floating in a water hazard pond
212,263,golfball floating in a water hazard pond
213,679,golfball floating in a water hazard pond
214,58,golfball floating in a water hazard pond
215,726,golfball floating in a water hazard pond
216,391,golfball floating in a water hazard pond
217,944,golfball floating in a water hazard pond
218,128,golfball floating in a water hazard pond
219,587,golfball floating in a water hazard pond
220,803,golfball floating in a water hazard pond
221,266,golfball floating in a water hazard pond
222,14,golfball floating in a water hazard pond
223,635,golfball floating in a water hazard pond
224,471,golfball floating in a water hazard pond
225,719,golfball floating in a water hazard pond
226,92,golfball floating in a water hazard pond
227,548,golfball floating in a water hazard pond
228,341,golfball floating in a water hazard pond
229,807,golfball floating in a water hazard pond
230,179,golfball floating in a water hazard pond
231,622,golfball floating in a water hazard pond
232,455,golfball floating in a water hazard pond
233,28,golfball floating in a water hazard pond
234,766,golfball floating in a water hazard pond
235,384,golfball floating in a water hazard pond
236,652,golfball floating in a water hazard pond
237,116,golfball floating in a water hazard pond
238,829,golfball floating in a water hazard pond
239,493,golfball floating in a water hazard pond
240,77,golfball floating in a water hazard pond
241,561,golfball floating in a water hazard pond
242,218,golfball floating in a water hazard pond
243,689,golfball floating in a water hazard pond
244,332,golfball floating in a water hazard pond
245,918,golfball floating in a water hazard pond
246,157,golfball floating in a water hazard pond
247,604,golfball floating in a water hazard pond
248,48,golfball floating in a water hazard pond
249,773,golfball floating in a water hazard pond
250,256,golfball on a tee box with morning mist
251,684,golfball on a tee box with morning mist
252,38,golfball on a tee box with morning mist
253,792,golfball on a tee box with morning mist
254,523,golfball on a tee box with morning mist
