case_number,evaluation_seed,prompt
0,199494,parachute over a river at sunset
1,433000,parachute above a quiet lake
2,134792,parachute over a small village
3,856832,parachute in a cloudy sky
4,474269,parachute near a rainbow
5,88541,parachute over a tropical island
6,235053,parachute in a snowy mountain valley
7,6843,parachute above a lighthouse
8,78507,parachute over a tropical island
9,66325,parachute over a forest
10,540564,parachute over a sunflower field
11,742244,parachute in a field of flowers
12,587533,parachute above a quiet lake
13,492052,parachute in a field of flowers
14,676060,parachute above rolling hills
15,761693,parachute in a windy canyon
16,836996,parachute in a foggy morning sky
17,372080,parachute under a meteor shower
18,997292,parachute above the ocean
19,93223,parachute drifting over farmland
20,978286,parachute in a field of flowers
21,731762,parachute drifting over farmland
22,806519,parachute over a tropical island
23,308139,parachute above the ocean
24,231260,parachute over a desert dune
25,979465,parachute in a foggy morning sky
26,688145,parachute over a sunflower field
27,151635,parachute above a quiet lake
28,995385,parachute above the ocean
29,941294,parachute over a sunflower field
30,87996,parachute near a rainbow
31,659265,parachute in a windy canyon
32,355841,parachute in a windy canyon
33,941896,parachute drifting over farmland
34,722236,parachute near a rainbow
35,275303,parachute near a rainbow
36,619141,parachute above rolling hills
37,155036,parachute above a lighthouse
38,875196,parachute over a river at sunset
39,485980,parachute over a desert dune
40,148643,parachute above the ocean
41,940707,parachute over a frozen lake
42,19975,parachute over a small village
43,237166,parachute over a river at sunset
44,846361,parachute drifting over farmland
45,566747,parachute in a field of flowers
46,751544,parachute in a field of flowers
47,647191,parachute over a sunflower field
48,456984,parachute above rolling hills
49,326942,parachute over a river at sunset
50,806765,parachute above the ocean
51,86130,parachute over a frozen lake
52,679596,parachute in a field of flowers
53,842187,parachute over a sunflower field
54,892872,parachute over a river at sunset
55,323442,parachute over a frozen lake
56,549756,parachute above a city skyline
57,902651,parachute over a river at sunset
58,581368,parachute above rolling hills
59,399127,parachute above rolling hills
60,565541,parachute over a small village
61,437585,parachute in a cloudy sky
62,533886,parachute over a frozen lake
63,252196,parachute above rolling hills
64,304296,parachute in a field of flowers
65,201162,parachute over a sunflower field
66,194058,parachute in a cloudy sky
67,874350,parachute over a desert dune
68,714541,parachute over a frozen lake
69,58345,parachute over a river at sunset
70,171114,parachute over a forest
71,570887,parachute over a desert dune
72,954586,parachute under a meteor shower
73,131100,parachute above rolling hills
74,381270,parachute above the ocean
75,165123,parachute in a foggy morning sky
76,871216,parachute over a sunflower field
77,850795,parachute drifting over farmland
78,211629,parachute in a foggy morning sky
79,732933,parachute above rolling hills
80,471875,parachute above a quiet lake
81,254221,parachute over a desert dune
82,322450,parachute near a rainbow
83,332485,parachute over a tropical island
84,769406,parachute above a city skyline
85,358628,parachute over a frozen lake
86,982491,parachute in a field of flowers
87,787601,parachute above rolling hills
88,685524,parachute in a cloudy sky
89,73034,parachute under a meteor shower
90,501809,parachute over a desert dune
91,968616,parachute above a quiet lake
92,856099,parachute above rolling hills
93,911996,parachute above a quiet lake
94,875232,parachute drifting over farmland
95,643118,parachute over a desert dune
96,636026,parachute above a lighthouse
97,786276,parachute in a snowy mountain valley
98,730129,parachute over a small village
99,8068,parachute in a snowy mountain valley
100,449502,parachute in a cloudy sky
101,972858,parachute over a sunflower field
102,959244,parachute over a sunflower field
103,770742,parachute above a quiet lake
104,414795,parachute over a frozen lake
105,586726,parachute drifting over farmland
106,978967,parachute over a sunflower field
107,924440,parachute in a cloudy sky
108,898591,parachute over a tropical island
109,959345,parachute above a city skyline
110,485231,parachute over a small village
111,745231,parachute over a forest
112,177078,parachute in a windy canyon
113,980443,parachute in a field of flowers
114,27346,parachute above a city skyline
115,281878,parachute in a snowy mountain valley
116,41872,parachute above a lighthouse
117,379070,parachute in a cloudy sky
118,116794,parachute in a cloudy sky
119,858132,parachute in a field of flowers
120,275499,parachute in a windy canyon
121,934449,parachute above rolling hills
122,301131,parachute above a city skyline
123,443473,parachute over a tropical island
124,400900,parachute in a foggy morning sky
125,248066,parachute in a windy canyon
126,582092,parachute in a snowy mountain valley
127,919337,parachute drifting over farmland
128,874757,parachute in a cloudy sky
129,694530,parachute over a forest
130,235976,parachute above the ocean
131,708338,parachute above the ocean
132,40021,parachute over a small village
133,998436,parachute over a forest
134,829583,parachute over a small village
135,475447,parachute near a rainbow
136,251737,parachute in a cloudy sky
137,755769,parachute over a tropical island
138,640265,parachute drifting over farmland
139,410513,parachute above a city skyline
140,247464,parachute over a sunflower field
141,536185,parachute above rolling hills
142,654206,parachute over a tropical island
143,751713,parachute over a tropical island
144,595635,parachute near a rainbow
145,572762,parachute in a foggy morning sky
146,248494,parachute under a meteor shower
147,428633,parachute in a field of flowers
148,309036,parachute in a windy canyon
149,596286,parachute above the ocean
150,901345,parachute in a foggy morning sky
151,866844,parachute near a rainbow
152,417627,parachute above the ocean
153,137784,parachute in a foggy morning sky
154,64779,parachute in a foggy morning sky
155,258309,parachute above a city skyline
156,260673,parachute under a meteor shower
157,757350,parachute over a small village
158,64218,parachute in a foggy morning sky
159,115019,parachute in a windy canyon
160,350972,parachute in a foggy morning sky
161,773887,parachute near a rainbow
162,571152,parachute over a frozen lake
163,846367,parachute in a snowy mountain valley
164,42869,parachute over a sunflower field
165,530480,parachute over a frozen lake
166,86366,parachute over a forest
167,451321,parachute over a river at sunset
168,23237,parachute in a cloudy sky
169,422334,parachute near a rainbow
170,589113,parachute near a rainbow
171,163248,parachute above the ocean
172,349704,parachute in a windy canyon
173,853964,parachute over a tropical island
174,584622,parachute over a river at sunset
175,125705,parachute in a cloudy sky
176,320960,parachute over a forest
177,788245,parachute in a field of flowers
178,484124,parachute over a frozen lake
179,127841,parachute above a city skyline
180,784393,parachute above a city skyline
181,236490,parachute in a snowy mountain valley
182,561585,parachute above a lighthouse
183,943073,parachute near a rainbow
184,118785,parachute over a river at sunset
185,720154,parachute under a meteor shower
186,778598,parachute drifting over farmland
187,439427,parachute drifting over farmland
188,315992,parachute in a cloudy sky
189,626067,parachute over a sunflower field
190,912267,parachute above a quiet lake
191,114980,parachute above rolling hills
192,919988,parachute in a field of flowers
193,74664,parachute in a cloudy sky
194,95053,parachute under a meteor shower
195,877872,parachute over a small village
196,780164,parachute in a snowy mountain valley
197,523457,parachute over a tropical island
198,812431,parachute over a forest
199,167370,parachute over a frozen lake
200,110840,parachute under a meteor shower
201,76171,parachute above rolling hills
202,966258,parachute above a lighthouse
203,589359,parachute in a cloudy sky
204,430973,parachute in a field of flowers
205,600840,parachute in a windy canyon
206,580211,parachute above a city skyline
207,244750,parachute in a cloudy sky
208,143495,parachute above a quiet lake
209,325273,parachute above rolling hills
210,987986,parachute over a river at sunset
211,338300,parachute above a lighthouse
212,395583,parachute in a foggy morning sky
213,431335,parachute above the ocean
214,338598,parachute in a cloudy sky
215,786553,parachute near a rainbow
216,797627,parachute near a rainbow
217,754906,parachute above a quiet lake
218,101340,parachute in a cloudy sky
219,913845,parachute in a windy canyon
220,928422,parachute above a lighthouse
221,223192,parachute above rolling hills
222,709090,parachute over a frozen lake
223,289455,parachute in a foggy morning sky
224,654403,parachute above a quiet lake
225,532877,parachute in a cloudy sky
226,684522,parachute above rolling hills
227,403454,parachute over a frozen lake
228,729201,parachute over a small village
229,141302,parachute over a tropical island
230,148175,parachute in a foggy morning sky
231,606752,parachute above the ocean
232,426750,parachute above a city skyline
233,925307,parachute over a frozen lake
234,634407,parachute in a cloudy sky
235,76119,parachute in a snowy mountain valley
236,546140,parachute over a small village
237,992741,parachute over a river at sunset
238,57624,parachute above the ocean
239,817792,parachute over a tropical island
240,959461,parachute in a foggy morning sky
241,220552,parachute drifting over farmland
242,603199,parachute over a tropical island
243,437524,parachute over a sunflower field
244,57405,parachute drifting over farmland
245,564511,parachute above a city skyline
246,966088,parachute in a windy canyon
247,313637,parachute over a tropical island
248,426165,parachute above the ocean
249,94508,parachute drifting over farmland
250,965347,parachute under a meteor shower
251,50887,parachute drifting over farmland
252,581456,parachute over a frozen lake
253,541613,parachute above the ocean
254,574389,parachute over a desert dune
255,613394,parachute over a forest
256,406820,parachute above a lighthouse
257,119421,parachute in a windy canyon
258,329891,parachute in a cloudy sky
259,972087,parachute over a frozen lake
260,142479,parachute in a snowy mountain valley
261,219820,parachute over a desert dune
262,875249,parachute over a frozen lake
263,97298,parachute above rolling hills
264,956759,parachute above the ocean
265,448588,parachute above a quiet lake
266,333081,parachute above the ocean
267,696617,parachute under a meteor shower
268,525931,parachute over a frozen lake
269,283926,parachute above rolling hills
270,39983,parachute above a lighthouse
271,230718,parachute above the ocean
272,418151,parachute in a cloudy sky
273,246189,parachute above rolling hills
274,600491,parachute in a windy canyon
275,613215,parachute in a cloudy sky
276,425631,parachute over a desert dune
277,475640,parachute over a frozen lake
278,323188,parachute in a cloudy sky
279,182295,parachute in a cloudy sky
280,286817,parachute drifting over farmland
281,280740,parachute over a tropical island
282,345426,parachute over a river at sunset
283,44841,parachute in a field of flowers
284,456807,parachute above a lighthouse
285,582049,parachute above rolling hills
286,315795,parachute over a river at sunset
287,117674,parachute above a city skyline
288,33657,parachute above rolling hills
289,352046,parachute over a desert dune
290,859912,parachute near a rainbow
291,150316,parachute in a windy canyon
292,801499,parachute in a windy canyon
293,673641,parachute over a river at sunset
294,857708,parachute above rolling hills
295,76561,parachute over a small village
296,94827,parachute above a quiet lake
297,732908,parachute over a tropical island
298,218100,parachute in a cloudy sky
299,542590,parachute over a sunflower field
300,872080,parachute in a field of flowers
301,924569,parachute over a tropical island
302,206532,parachute above a lighthouse
303,533067,parachute in a snowy mountain valley
304,82422,parachute above a city skyline
305,916862,parachute in a windy canyon
306,146434,parachute in a cloudy sky
307,751332,parachute above a lighthouse
308,776579,parachute over a desert dune
309,392870,parachute over a river at sunset
310,883337,parachute in a windy canyon
311,647339,parachute over a small village
312,888095,parachute over a desert dune
313,325272,parachute above a city skyline
314,928010,parachute above a lighthouse
315,70386,parachute above the ocean
316,541012,parachute in a cloudy sky
317,973999,parachute over a small village
318,352995,parachute above a quiet lake
319,340429,parachute above a quiet lake
320,725905,parachute in a cloudy sky
321,106702,parachute above rolling hills
322,570303,parachute above a lighthouse
323,634104,parachute over a forest
324,673822,parachute over a forest
325,841304,parachute drifting over farmland
326,557581,parachute under a meteor shower
327,628094,parachute under a meteor shower
328,789692,parachute drifting over farmland
329,155471,parachute over a forest
330,504920,parachute in a cloudy sky
331,803352,parachute in a cloudy sky
332,597025,parachute in a windy canyon
333,954540,parachute over a sunflower field
334,203732,parachute near a rainbow
335,949000,parachute drifting over farmland
336,189378,parachute over a forest
337,745019,parachute in a cloudy sky
338,362035,parachute drifting over farmland
339,332821,parachute over a tropical island
340,677626,parachute over a river at sunset
341,475420,parachute near a rainbow
342,165195,parachute over a desert dune
343,915324,parachute above a lighthouse
344,207928,parachute over a desert dune
345,874660,parachute in a windy canyon
346,554905,parachute over a tropical island
347,658289,parachute over a desert dune
348,156322,parachute over a small village
349,894291,parachute above rolling hills
350,905401,parachute above a lighthouse
351,970195,parachute over a small village
352,302928,parachute over a forest
353,684752,parachute in a snowy mountain valley
354,965623,parachute near a rainbow
355,161158,parachute above a city skyline
356,261078,parachute over a forest
357,411424,parachute in a foggy morning sky
358,160372,parachute over a frozen lake
359,540258,parachute in a foggy morning sky
360,476186,parachute under a meteor shower
361,868296,parachute over a frozen lake
362,616506,parachute in a cloudy sky
363,7841,parachute above a quiet lake
364,283597,parachute over a forest
365,143402,parachute above the ocean
366,540480,parachute above a lighthouse
367,509697,parachute over a tropical island
368,715708,parachute over a sunflower field
369,373762,parachute over a frozen lake
370,556742,parachute over a desert dune
371,665660,parachute above the ocean
372,221483,parachute in a field of flowers
373,568802,parachute above a city skyline
374,193034,parachute drifting over farmland
375,884899,parachute in a windy canyon
376,965950,parachute under a meteor shower
377,756685,parachute in a foggy morning sky
378,7113,parachute above a quiet lake
379,68138,parachute over a tropical island
380,937406,parachute above the ocean
381,160598,parachute over a tropical island
382,406325,parachute in a snowy mountain valley
383,152150,parachute in a snowy mountain valley
384,5923,parachute in a windy canyon
385,510741,parachute over a small village
386,719537,parachute over a small village
387,210622,parachute over a desert dune
388,644200,parachute over a desert dune
389,133637,parachute in a snowy mountain valley
390,393282,parachute over a tropical island
391,504459,parachute above rolling hills
392,928831,parachute over a frozen lake
393,933647,parachute over a desert dune
394,875685,parachute in a cloudy sky
395,456083,parachute over a sunflower field
396,994691,parachute over a forest
397,613181,parachute above a city skyline
398,250744,parachute in a windy canyon
399,410375,parachute in a foggy morning sky
400,76828,parachute over a frozen lake
401,164857,parachute over a forest
402,344443,parachute under a meteor shower
403,792081,parachute over a desert dune
404,124339,parachute in a snowy mountain valley
405,714755,parachute over a frozen lake
406,730629,parachute over a tropical island
407,103675,parachute under a meteor shower
408,569430,parachute above rolling hills
409,6034,parachute drifting over farmland
410,879228,parachute over a forest
411,131763,parachute in a cloudy sky
412,55926,parachute in a field of flowers
413,514738,parachute in a cloudy sky
414,530358,parachute near a rainbow
415,284057,parachute over a small village
416,378280,parachute over a tropical island
417,449195,parachute over a forest
418,254605,parachute above a city skyline
419,651118,parachute over a forest
420,212649,parachute over a river at sunset
421,109632,parachute over a desert dune
422,594542,parachute in a field of flowers
423,123896,parachute over a tropical island
424,551815,parachute in a windy canyon
425,268541,parachute over a desert dune
426,260471,parachute above a city skyline
427,609403,parachute in a field of flowers
428,807195,parachute above rolling hills
429,584738,parachute in a windy canyon
430,713086,parachute drifting over farmland
431,750030,parachute above a quiet lake
