case_number,evaluation_seed,prompt
0,742,portrait painted by Pablo Picasso in cubist style
1,156,portrait painted by Pablo Picasso in cubist style
2,489,portrait painted by Pablo Picasso in cubist style
3,823,portrait painted by Pablo Picasso in cubist style
4,34,portrait painted by Pablo Picasso in cubist style
5,671,portrait painted by Pablo Picasso in cubist style
6,298,portrait painted by Pablo Picasso in cubist style
7,915,portrait painted by Pablo Picasso in cubist style
8,457,portrait painted by Pablo Picasso in cubist style
9,183,portrait painted by Pablo Picasso in cubist style
10,764,portrait painted by Pablo Picasso in cubist style
11,52,portrait painted by Pablo Picasso in cubist style
12,836,portrait painted by Pablo Picasso in cubist style
13,309,portrait painted by Pablo Picasso in cubist style
14,648,portrait painted by Pablo Picasso in cubist style
15,124,portrait painted by Pablo Picasso in cubist style
16,578,portrait painted by Pablo Picasso in cubist style
17,892,portrait painted by Pablo Picasso in cubist style
18,415,portrait painted by Pablo Picasso in cubist style
19,71,portrait painted by Pablo Picasso in cubist style
20,953,portrait painted by Pablo Picasso in cubist style
21,267,portrait painted by Pablo Picasso in cubist style
22,684,portrait painted by Pablo Picasso in cubist style
23,138,portrait painted by Pablo Picasso in cubist style
24,506,portrait painted by Pablo Picasso in cubist style
25,829,portrait painted by Pablo Picasso in cubist style
26,342,portrait painted by Pablo Picasso in cubist style
27,776,portrait painted by Pablo Picasso in cubist style
28,48,portrait painted by Pablo Picasso in cubist style
29,621,portrait painted by Pablo Picasso in cubist style
30,195,portrait painted by Pablo Picasso in cubist style
31,713,portrait painted by Pablo Picasso in cubist style
32,368,portrait painted by Pablo Picasso in cubist style
33,944,portrait painted by Pablo Picasso in cubist style
34,86,portrait painted by Pablo Picasso in cubist style
35,537,portrait painted by Pablo Picasso in cubist style
36,269,portrait painted by Pablo Picasso in cubist style
37,801,portrait painted by Pablo Picasso in cubist style
38,455,portrait painted by Pablo Picasso in cubist style
39,17,portrait painted by Pablo Picasso in cubist style
40,697,portrait painted by Pablo Picasso in cubist style
41,163,portrait painted by Pablo Picasso in cubist style
42,524,portrait painted by Pablo Picasso in cubist style
43,888,portrait painted by Pablo Picasso in cubist style
44,378,portrait painted by Pablo Picasso in cubist style
45,64,portrait painted by Pablo Picasso in cubist style
46,732,portrait painted by Pablo Picasso in cubist style
47,249,portrait painted by Pablo Picasso in cubist style
48,612,portrait painted by Pablo Picasso in cubist style
49,976,portrait painted by Pablo Picasso in cubist style
50,403,still life with guitar and fruit painted by Pablo Picasso
51,157,still life with guitar and fruit painted by Pablo Picasso
52,815,still life with guitar and fruit painted by Pablo Picasso
53,28,still life with guitar and fruit painted by Pablo Picasso
54,671,still life with guitar and fruit painted by Pablo Picasso
55,229,still life with guitar and fruit painted by Pablo Picasso
56,744,still life with guitar and fruit painted by Pablo Picasso
57,98,still life with guitar and fruit painted by Pablo Picasso
58,583,still life with guitar and fruit painted by Pablo Picasso
59,862,still life with guitar and fruit painted by Pablo Picasso
60,314,still life with guitar and fruit painted by Pablo Picasso
61,651,still life with guitar and fruit painted by Pablo Picasso
62,129,still life with guitar and fruit painted by Pablo Picasso
63,476,still life with guitar and fruit painted by Pablo Picasso
64,908,still life with guitar and fruit painted by Pablo Picasso
65,36,still life with guitar and fruit painted by Pablo Picasso
66,792,still life with guitar and fruit painted by Pablo Picasso
67,268,still life with guitar and fruit painted by Pablo Picasso
68,554,still life with guitar and fruit painted by Pablo Picasso
69,137,still life with guitar and fruit painted by Pablo Picasso
